Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2023/081,"Evaluation of the Department for Business Energy and Industrial Strategy's (BEIS's) three Carbon Capture, Utilisation and Storage (CCUS) programmes","Scott Carter, IPSOS MORI
Jose Argudo, IPSOS MORI
Olivia Brajterman, IPSOS MORI
Jonathan Hobson, Perspective Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-06-02
2023/082,Inequalities in pension saving and labour market outcomes,"Jonathan Cribb, Institute for Fiscal Studies
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,2023-06-07
2023/083,"Effects of Austerity Policies on Public Goods, Local Amenities, and Individual Behaviour","Lorenzo Neri, University of St Andrews
Agnese Romiti, University of Strathclyde",Digital Economy Act (2017),"Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-06-07
2023/085,Evaluating green skills in London,"Prabhat Vaze, Belmana
Lorenzo Marzano, Belmana
Michela Vecchi, University of Kingston
Suman Lodh, Kingston University",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey - UK,Office for National Statistics Secure Research Service,2023-06-13
2023/086,Efficiency and productivity of UK firms,"Anthony Glass, University of Sheffield
Karligash Glass, University of Loughborough",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-06-19
2023/087,Austerity and household debt,"Jim Goldman, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Wealth and Assets Survey - Great Britain, Living Costs and Food Survey - UK",Office for National Statistics Secure Research Service,2023-06-19
2023/088,Health1UP2 (Differentiated health impacts of primary and secondary ultrafine particles),"Ioar Rivas Lara, ISGlobal
Dimitris Evangelopoulos, Imperial College London",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: Death Registrations Finalised - England and Wales,Office for National Statistics Secure Research Service,2023-06-19
2023/089,"Understanding the Urban Metabolism: Residential Mobility, Demographics, and Housing Real-estate in London","Adam Dennett, University of London - University College
Boyana Buyuklieva, University College London",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-06-19
2023/091,Analysing changing patterns of ethnic inequalities in older people’s morbidity & life expectancy using synthetic cohorts & the ONS Longitudinal Study,"Dharmi Kapadia, The University of Manchester
Laia Becares, King's College London
Sarah Stopforth, University of York
Harry Taylor, King's College London",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-06-20
2023/092,Changes in Mode of Transport used for Journey to Work,"Jemima Stockton, University College London
Oliver Duke-Williams, University College London",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-06-21
2023/093,Looked-after children grown up,"Rebecca Lacey, St George's University of London
Emily Murray, University of London - University College
Amanda Sacker, University College London",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-06-22
2023/095,Statutory Review of Equality and Human Rights 2023 (formally Is Britain Fairer?),"Sian Hughes, The Equality and Human Rights Commission
Elizabeth Titley, The Equality and Human Rights Commission
Ewan Devine-Kennedy, The Equality and Human Rights Commission
Karen Hurrell, The Equality and Human Rights Commission",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Crime Survey for England and Wales, Opinions and Lifestyle Survey - Great Britain, Consumer and Retail Price Index - UK",Office for National Statistics Secure Research Service,2023-06-20
2023/096,Tax and Benefit Microsimulation,"Robert Joyce, Institute for Fiscal Studies
Tom Waters, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Zoe Oldfield, Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies
Samuel Ray-Chaudhuri, Institute for Fiscal Studies",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: Living Costs and Food Survey - UK,Office for National Statistics Secure Research Service,2023-06-22
2023/097,Do maternal characteristics have an impact on birthweight of liveborn child?,"Jitka Pikhartova, University of London - University College",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-06-22
2023/098,Understanding the Impacts of Time in Care on Educational Attainment of Young Adults Aged 16-18 in England,"Xiaohui Zhang, University of Exeter",Digital Economy Act (2017),"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Children in Need, Children Looked After, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",Office for National Statistics Secure Research Service,2023-06-22
2023/068,Understanding Seafood Consumption in the UK within the UKRI funded Pyramids of Life project,"Gaetano Grilli, University of East Anglia",Digital Economy Act (2017),Office for National Statistics: Living Costs and Food Survey,Office for National Statistics Secure Research Service,2023-05-12
2023/072,Exploring the life course patterns and family justice experience of young mothers involved in recurrent care proceedings in England,"Mariam Abouelenin, Lancaster University",Digital Economy Act (2017),"Ministry of Justice: Children and Family Court Advisory and Support Service (CAFCASS England), Family Man",SAIL Databank,2023-06-05
2023/073,Domestic abuse proceedings in family courts: Overlap and pathways in private and public family justice,"Ludivine Garside, University of Bristol",Digital Economy Act (2017),Ministry of Justice: Data First FamilyMan Family Court data,SAIL Databank,2023-06-05
2023/074,Full scale: UK business growth,"Shreya Nanda, Social Market Foundation",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey,Office for National Statistics Secure Research Service,2023-05-12
2023/084,"Violence, health and society: the exploration and analysis of the Crime Survey for England and Wales","Polina Obolenskaya, University of London
Niels Blom, University of London
Hannah Manzur, University of London
Elouise Davies, Lancaster University",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2023-06-13
2023/090,Impact Evaluation of Be the Business,"Justus Laugwitz, SQW - Economic and Management Consultants
Sergei Plekhanov, SQW - Economic and Management Consultants
Imogen Sprackling, SQW - Economic and Management Consultants
Paulina Szymczak, SQW - Economic and Management Consultants
Izabela Zawartka, SQW - Economic and Management Consultants",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Insights and Conditions Survey - UK, Management and Expectations Survey - Great Britain
DBT: Longitudinal Small Business Survey - UK",Office for National Statistics Secure Research Service,07/07/2023
2023/096,Tax and Benefit Microsimulation,"Robert Joyce, Institute for Fiscal Studies
Tom Waters, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Zoe Oldfield, Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies
Samuel Ray-Chaudhuri, Institute for Fiscal Studies",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: Living Costs and Food Survey - UK,Office for National Statistics Secure Research Service,22/06/2023
2023/099,What are the differences between Census 2021 and ONS household surveys in relation to the estimates of Welsh language ability?,"Matt Hart, ONS
Robert Doherty, Office for National Statistics
Gregory Tilsar, Office for National Statistics
Lucy Robinson, Welsh Government
Nicholas Webster, Welsh Government
Matthew Curds, Welsh Government
Cian Sion, Welsh Government",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,"Office for National Statistics: Welsh Language Analytical Dataset (2021 Census & Labour Force Survey
/Annual Population Survey)",Office for National Statistics Integrated Data Platform,21/07/2023
