Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2025/108,2025/108,Informing Targeted Campaigns for the Construction Industry Research,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2025-04-22,2025,ok,Labour Market & Employment; Education & Skills,Descriptive Monitoring,,Assigned Labour Market & Employment and Education & Skills because the title concerns targeted campaigns for the construction industry and the LEO dataset links education records to labour-market outcomes; Descriptive Monitoring because the project appears to profile education-to-work patterns to inform targeting rather than evaluate a named campaign; no tag because no demographic-equity or COVID-19 lens is evident.,,
2025/109,2025/109,Researching intimate partner violence and abuse with UK survey data,Office for National Statistics: Crime Survey for England and Wales,2025-05-08,2025,ok,Crime & Justice,Unclear from Register Entry,,"Assigned Crime & Justice because the title focuses on intimate partner violence and abuse using the Crime Survey for England and Wales; Unclear from Register Entry because the title does not specify whether the survey data are used for monitoring, outcomes, methods, or another analytical operation; no tag because no demographic-equity or COVID-19 lens is evident.",,
2025/110,2025/110,UK MS Register,SAIL Databank Databank: Census 2021,2025-04-30,2025,ok,Health & Social Care; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Health & Social Care and Data Infrastructure & Methodology because the UK MS Register concerns multiple sclerosis and is framed as a register/data asset linked with Census 2021 data; Methodological / Infrastructure Research because the register itself is the visible analytical infrastructure; no tag because no demographic-equity or COVID-19 lens is evident.,,
2025/111,2025/111,Impact of minimum wages on prices,"Office for National Statistics: Annual Survey of Hours and Earnings - GB, Annual Business Survey - GB",2025-05-01,2025,ok,Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Business & Productivity because the title studies minimum wages and price responses using earnings and business survey data; Policy Evaluation / Impact Analysis because it assesses the impact of a deliberate wage-floor policy on prices; no tag because no demographic-equity or COVID-19 lens is evident.,,
2025/112,2025/112,Housekeeping for Wealthy Households in 21st century Britain,Office for National Statistics: Living Costs and Food Survey,2025-05-15,2025,ok,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because the title focuses on wealthy households and uses the Living Costs and Food Survey to study household expenditure/living-standard patterns; Descriptive Monitoring because the entry indicates characterising housekeeping among wealthy households rather than evaluating a policy or testing a specified exposure-outcome link; no tag because the lens is wealth rather than a demographic/equality group or COVID-19.",,
2025/113,2025/113,Evaluating expanded childcare entitlements,"Office for National Statistics: Annual Population Survey, Annual Population Survey Longitudinal, Labour Force Survey Longitudinal, Labour Force Survey Person, Labour Force Survey Household, Childcare and Early Years Survey of Parents",2025-05-09,2025,ok,Education & Skills; Labour Market & Employment,Policy Evaluation / Impact Analysis,,Assigned Education & Skills and Labour Market & Employment because expanded childcare entitlements are an early-years/childcare policy and the APS/LFS datasets indicate labour-market outcomes for parents are likely central; Policy Evaluation / Impact Analysis because the title explicitly says it is evaluating expanded childcare entitlements; no tag because no demographic-equity or COVID-19 lens is explicit.,,
2025/114,2025/114,Marie Curie End of Life Transformation,SAIL Databank Databank: Census Wales 2021,2025-05-12,2025,ok,Health & Social Care,Unclear from Register Entry,,"Assigned Health & Social Care because the title refers to Marie Curie End of Life Transformation, indicating end-of-life care; Unclear from Register Entry because the title and Census Wales 2021 dataset do not reveal whether the work is monitoring, evaluation, pathways analysis, or another design; no tag because no demographic-equity or COVID-19 lens is explicit.",,
2025/115,2025/115,From Dispersion to Development: How Regional Skill Distribution Shapes Economic Trajectories,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database, Quarterly Labour Force Survey",2025-06-02,2025,ok,Education & Skills; Labour Market & Employment; Business & Productivity,Outcome Tracking,,"Assigned Education & Skills, Labour Market & Employment, and Business & Productivity because the title links regional skill distribution to economic trajectories and the datasets combine workforce/earnings sources with business surveys and the Business Structure Database; Outcome Tracking because the project examines how regional skill distribution shapes downstream economic trajectories; no tag because no demographic-equity or COVID-19 lens is explicit.",,
2025/116,2025/116,Teachers Assessment versus Centralised Exams,UCAS: Universities and Colleges Admissions Service data,2025-05-13,2025,ok,Education & Skills,Outcome Tracking,,Assigned Education & Skills because the title compares teacher assessment with centralised exams using UCAS admissions data; Outcome Tracking because it appears to link assessment type to subsequent university admissions or education outcomes; no tag because COVID-19 is not explicit and no demographic-equity lens is stated.,,
2025/117,2025/117,"Examining the NI ""Brain Drain""",UCAS: Universities and Colleges Admissions Service data,2025-05-14,2025,ok,Education & Skills; Migration & Demographics,Descriptive Monitoring,,Assigned Education & Skills and Migration & Demographics because NI “Brain Drain” using UCAS data concerns higher-education flows and population mobility out of Northern Ireland; Descriptive Monitoring because the title indicates examining the scale or pattern of brain drain rather than evaluating a named intervention or testing a specified outcome; no tag because no demographic-equity or COVID-19 lens is explicit.,,
